"V1","Ali bolnik prejema furosemid ali torasemid zaradi hipostatskega edema gležnjev brez srčnega popuščanja?","Is the patient taking furosemid or torasemid for dependent ankle edema without heart failure?",""
"V2","Ali bolnik prejema furosemid ali torasemid za monoterapijo za hipertenzijo?","Is the furosemid or torasemid monotherapy for hypertension?",""
"V3","Ali prejema bolnik dipiridamol kot monoterapijo za kardiovaskularno sekundarno preventivo?","Is the patient receiving dipyridamole as monotherapy for cardiovascular secondary prevention?",""
"V4","Ali prejema bolnik varfarin zaradi GVT?","Is the patient taking warfarin for deep venuous thrombosis?",""
"V5","Ali gre za prvo, nezapleteno vensko trombozo?","Is this the first, uncomplicated venuous thrombosis?",""
"V6","Ali traja antikoagulantno zdravljenje več kot 6 mesecev?","Is the anticoagulant therapy longer than 6 months?",""
"V7","Ali prejema bolnik varfarin zaradi pljučne embolije?","Does the patient take warfarin for pulmonary embolism?",""
"V8","Ali gre za prvo, nezapleteno pljučno embolijo?","Is this the first, uncomplicated pulmonary embolism?",""
"V9","Ali traja antikoagulantno zdravljenje več kot 12 mesecev?","Is the anticoagulant therapy longer than 12 months?",""
"V10","Ali prejema bolnik nevroleptik zaradi nespečnosti?","Is the patient taking neuroleptics for insomnia?",""
"V11","Ali bolnik prejema biperiden zaradi ekstrapiramidnih učinkov nevroleptika?","Is the patient taking biperiden to counter the extrapyramidal effects of neuroleptics?",""
"V12","Ali traja zdravljenje z inhibitorjem protonske črpalke dlje kot 8 tednov?","Is the treatment with proton pump inhibitor longer than 8 weeks?",""
"V13","Teofilin: ali gre za monoterapijo za KOPB?","Teophylline: is this a monotherapy for COPD?",""
"V14","Sistemski kortikosteroidi: ali gre za vzdrževalno terapijo za KOPB?","Systemic corticosteroids: is this a maintenance therapy for CPOD?",""
"V15","Ali traja zdravljenje z NSAR dlje kot 3 mesece?","Is the treatment with NSAIDs longer than 3 months?",""
"V16","Nesteroidni antirevmatiki: ali gre za zdravljenje blagih bolečin zaradi osteoartroze?","Is the patient taking NSAIDs for mild joint pain in osteoarthrosis?",""
"V17","Sistemski kortikosteroid: ali gre za monoterapijo za revmatoidni artritis ali osteoartrozo?","Systemic corticosteroids: is this a monotherapy for rheumatoid arthritis or osteoarthrosis?",""
"V18","Ali obstajajo kontraindikacije za alopurinol?","Do contraindications for allopurinol exist?",""
"V19","Ali ima bolnica še prisotno maternico?","Does the patient still have uterus?",""
"V20","Močni opiod: ali gre za prvo linijo zdravljenja pri blagi do zmerni bolečini?","Strong opioid: is this first line treatment in mild to moderate pain?",""
"V21","Ali bolnik prejema laksativ?","Is the patient taking laxative?",""
"V22","Močni opioid: ali gre za paliativno oskrbo?","Strong opioid: is this palliative treatment?",""
"V23","Ali so prisotne kontraindikacije za varfarin?","Are contraindications for warfarin present?",""
"V24","Ali so prisotne kontraindikacije za aspirin?","Are contraindications for aspirin present?",""
"V25","Ali je pričakovana življenjska doba več kot pet let?","Is life expectancy longer than 5 years?",""
"V26","Ali gre za idiopatsko Parkinsonovo bolezen?","Is there an idiopathic Parkinson disease?",""
"V27","Ali je zaradi Mb. Parkinson prisotna funkcijska okvara?","Is there a functional impairment present in the patient due to Parkinson's disease?",""
"V28","Ali bolnik kadi?","Is the patient smoking?",""
"V29","Ali gre za duplikacijo (podvojitev)?","Is this a duplicate drug class prescription?",""
"V30","V30","Has the treatment with first generation antihistamine lasted longer than 1 week?",""
"V31","Ali ima bolnik simptomatsko divertikulozo?","Does the patient have a symptomatic diverticular disease?",""
"V32","Ali bolnik jemlje prehrambene dodatke z vlakninami?","Does the patient take fibre supplement?",""
"V33","Ali je ventrikularna sistolna funkcija ohranjena?","Is the systolic ventricular function normal?",""
"V34","Ali so prisotne motnje srčnega ritma kot bradikardija<50 ali AV blok II ali III stopnje?","Are there heart rhythm anomalies present like bradicardia <50 or type II or complete heart block?",""
"V35","Ali gre za terapijo prvega izbora zaradi supraventrikularne tahiartmije?","Is this the first-line therapy for supraventricular tachyarrhytmia?",""
"V36","Ali bolnik jemlje diuretik zanke kot terapijo za hipertenzijo?","Is loop diuretic hypertension therapy?",""
"V37","Bolnik prejema centralno delujoči antihpertenziv. Ali ne prenaša drugih antihipertenzivov oziroma ste jih preizkusili in so neučinkoviti?","The patient is taking centrally acting antihypertensive drug. Has there been clear evidence of intolerance of other antihypertensives or are they uneffective?",""
"V38","Ali je bolnik v zadnjih šestih mesecih imel kontrolo kalija?","Has the patient had potassium monitored within the last six months?",""
"V39","Ali je triciklični antidepresiv prvo zdravilo za zdravljenje depresije pri tem bolniku?","Is the tricyclic antidepressant the first drug to treat depression in this patient?",""
"V40","Ali traja jemanje benzodiazepinov dlje kot 4 tedne?","Has the patient taken benzodiazepines longer than 4 weeks?",""
"V41","Ali bolnik prejema antiholinergik zaradi ekstrapiramidnih učinkov nevroleptika?","Is the patient taking anticholinergic drug to counter the extrapyramidal effects of neuroleptics?",""
"V42","Ali ima bolnik vedenjske in psihološke simptome demence?","Does the patient have behavioural and psychological symptoms of dementia (BPSD)?",""
"V43","Ali je bolnikova nespečnost posledica psihoze ali demence?","Is the patient's sleep disorder due to psychosis or dementia?","Šteje odgovor NE."
"V44","Ali je imel bolnik več nepojasnjenih izgub zavest?","Has the patient had recurrent unexplained syncopes?",""
"V45","Ali prejema bolnik levomepromazin kot antiemetik v paliativni oskrbi?","Is the patient taking levomepromazine as antiemetic in palliative care?",""
"V46","Ali gre za antipsihotik prvega izbora?","Is the phenotiazine first-line treatment?",""
"V47","Ali prejema bolnik levodopo ali dopaminski antagonist zaradi benignega esencialnega tremorja?","Is the patient taking levodopa or dopamine antagonist for benign essential tremor?",""
"V48","Ali je OGF pod 15?","Is OGF under 15ml/min/1.73m2?",""
"V49","Ali je OGF pod 10?","Is OGF under 10ml/min/1.73m2?",""
"V50","Ali je bolnik za zdravljenje bolečin preizkusil paracetamol ali obstajajo drugi razlogi, zakaj paracetamol ne bi bil primeren?","Has the patient tried paracetamol for pain or are there other reasons why paracetamol can't be used?",""
"V51","Ali ima bolnik srčnožilno obolenje?","Does the patient have a cardiovascular disease?",""
"V52","Ali ima bolnik v anamnezi mikcijsko sinkopo?","Does the patient have a history of micturition syncope?",""
"V53","Ali ima bolnik v primarni ali sekundarni hipogonadizem?","Does the patient have primary or secondary hypogonadism?",""
"V54","Ali prejema bolnik kratkodelujoči analgetik za prebijajočo bolečino?","Does the patient take a short-acting opiod analgesic for break-through pain?",""
"V55","Ali je bolnikov krvni pritisk stalno nad 140/90?","Is the patient's blood pressure consistently above 140/90?",""
"V56","Ali je bolnik v terminalnem stanju oziroma gre pri njem za „end of life care“?","Is the patient in end-of-life care?",""
"V57","Ali bolnik ob poslabšanjih astme ali KOPB potrebuje oralne kortikosteroide?","Does the patient needs oral corticosteroids during exacerbations of asthma/COPD?",""
"V58","Ali gre blago do zmerno Alzheimerjevo demenco ali demenco Lewyevih telesc?","Is this mild to moderate Alzheimer's dementia or Lewy body dementia?",""
"V59","Ali je pri bolniku prisotno pomanjkanje železa?","Is there an iron deficiency present?",""
"V60","Ali je imel bolnik zlom z majhno silo?","Has the patient had a fragility fracture?",""
"V61","Ali je bila kostna gostota pod T < -2.0 na več mestih?","Was the bone density score T below -2.0 in multiple sites?",""
"V62","Ali je bila kostna gostota pod T < -2.5 na več mestih?","Was the bone density score T below -2.5 in multiple sites?",""
"V63","Ali obstajajo kontraindikacije za bisfosfonate oziroma druga zdravila za zdravljenje osteoporoze (stroncijev ranelat, denosumab, teriparatid)?","Are there contraindications against bisphosphonates, denosumab, teriparatide or strontium ranelate for treatment of osteoporosis?",""
"V64","Ali je pri bolniku prisotna proteinurija?","Is there a proteinuria or microalbuminuria present?",""
"V65","Ali je bolečina dobro nadzorovana?","Is the pain well controlled?",""
"V66","Ali je bil bolnik v zadnjem letu cepljen proti gripi?","Has the patient been vaccinated against influenza in the last year?",""
"V67","Ali je bil bolnik vsaj enkrat po 65 letu cepljen proti pnevmokoku?","Has the patient been vaccinated against pneumococcus at least once?",""
"V68","Ali dnevna doza železa presega 200mg elementarnega železa?","Is the daily iron dose greater than 200mg of elementary iron?",""
